,STATION,DATE,TEMP,MAX,MIN,CELSIUS
1461,RP000098755,2017-01-01,80.06,84.20,75.20,26.70
1462,RP000098755,2017-01-02,80.78,85.64,75.92,27.10
1463,RP000098755,2017-01-03,79.88,85.28,,26.60
1464,RP000098755,2017-01-04,80.60,86.36,75.38,27.00
1465,RP000098755,2017-01-05,77.72,89.06,,25.40
1466,RP000098755,2017-01-06,75.92,81.68,,24.40
1467,RP000098755,2017-01-07,75.02,77.90,,23.90
1468,RP000098755,2017-01-08,77.18,81.86,73.40,25.10
1469,RP000098755,2017-01-09,80.60,85.64,74.12,27.00
1470,RP000098755,2017-01-10,80.96,87.44,75.92,27.20
1471,RP000098755,2017-01-11,78.44,82.76,,25.80
1472,RP000098755,2017-01-12,78.26,85.28,75.02,25.70
1473,RP000098755,2017-01-13,81.68,90.68,74.48,27.60
1474,RP000098755,2017-01-14,81.68,88.34,75.56,27.60
1475,RP000098755,2017-01-15,82.04,90.14,76.28,27.80
1476,RP000098755,2017-01-16,79.88,86.90,,26.60
1477,RP000098755,2017-01-17,80.06,83.30,74.30,26.70
1478,RP000098755,2017-01-18,80.24,84.02,76.82,26.80
1479,RP000098755,2017-01-19,77.00,83.12,,25.00
1480,RP000098755,2017-01-20,77.72,83.48,71.60,25.40
1481,RP000098755,2017-01-21,78.98,84.56,74.66,26.10
1482,RP000098755,2017-01-22,80.42,84.92,74.12,26.90
1483,RP000098755,2017-01-23,77.54,83.84,,25.30
1484,RP000098755,2017-01-24,79.52,82.76,,26.40
1485,RP000098755,2017-01-25,80.42,84.92,,26.90
1486,RP000098755,2017-01-26,79.34,84.92,,26.30
1487,RP000098755,2017-01-27,79.16,,74.84,26.20
1488,RP000098755,2017-01-28,77.18,81.50,,25.10
1489,RP000098755,2017-01-29,80.24,86.00,74.30,26.80
1490,RP000098755,2017-01-30,80.78,87.98,,27.10
1491,RP000098755,2017-01-31,80.06,,75.38,26.70
1492,RP000098755,2017-02-01,77.36,84.02,,25.20
1493,RP000098755,2017-02-02,78.62,84.92,73.40,25.90
1494,RP000098755,2017-02-03,78.08,82.58,75.20,25.60
1495,RP000098755,2017-02-04,76.82,81.14,,24.90
1496,RP000098755,2017-02-05,79.34,87.26,73.58,26.30
1497,RP000098755,2017-02-06,80.78,89.06,75.20,27.10
1498,RP000098755,2017-02-07,80.42,89.96,,26.90
1499,RP000098755,2017-02-08,80.42,88.88,73.58,26.90
1500,RP000098755,2017-02-09,78.44,90.32,,25.80
1501,RP000098755,2017-02-10,75.92,80.96,72.50,24.40
1502,RP000098755,2017-02-11,76.28,82.76,72.32,24.60
1503,RP000098755,2017-02-12,74.48,80.96,71.60,23.60
1504,RP000098755,2017-02-13,75.92,80.24,70.34,24.40
1505,RP000098755,2017-02-14,76.82,82.04,70.52,24.90
